"H [meter]","ID [meter]","OD [meter]","winding_angle [deg]","WireD [mm]","Freq [GHz]","L_Leak [nH]","L_cm [nH]"
0.0182,0.0264,0.0483,110,1.828,0.0001,1790.29494735656,5839669.09363504
0.0182,0.0264,0.0483,110,1.828,0.00035,1771.82443069814,3032023.0981466
0.0185,0.0287,0.0431,110,2.053,0.0001,1696.91633812961,3995753.633081
0.0185,0.0287,0.0431,110,2.053,0.00035,1679.89347945252,2074645.24285721
0.0234,0.0363,0.0535,90,2.305,0.0001,2643.69790724979,4820961.61480988
0.0234,0.0363,0.0535,90,2.305,0.00035,2627.97483561269,2503140.57593357
0.0234,0.0363,0.0535,110,2.305,0.0001,2231.62037879608,4820888.31370611
0.0234,0.0363,0.0535,110,2.305,0.00035,2217.85188612437,2503067.16398446
0.0234,0.0363,0.0535,110,2.588,0.0001,2126.54871029784,4820887.3042062
0.0234,0.0363,0.0535,110,2.588,0.00035,2113.05487757883,2503065.22338773
0.0241,0.0377,0.0575,90,2.305,0.0001,2791.74426371677,5403809.4668946
0.0241,0.0377,0.0575,90,2.305,0.00035,2776.95825362655,2805764.35610757
0.0241,0.0377,0.0575,90,2.588,0.0001,2673.75398322335,5403756.33381811
0.0241,0.0377,0.0575,90,2.588,0.00035,2658.25781623102,2805734.15532328
0.0241,0.0377,0.0575,110,2.305,0.0001,2361.32487323671,5403678.70342614
0.0241,0.0377,0.0575,110,2.305,0.00035,2348.82142200004,2805658.39897912
0.0241,0.0377,0.0575,110,2.588,0.0001,2255.719305627,5403679.24777778
0.0241,0.0377,0.0575,110,2.588,0.00035,2242.78729331102,2805657.65309643
0.0247,0.0547,0.0954,110,2.588,0.0001,2896.04642434622,7297445.37591464
0.0247,0.0547,0.0954,110,2.588,0.00035,2887.90706339318,3788930.41195295
0.0247,0.0547,0.0954,110,2.906,0.0001,2804.66656843425,7297444.55068376
0.0247,0.0547,0.0954,110,2.906,0.00035,2797.4524188524,3788927.7568824
0.0247,0.0547,0.0954,110,3.264,0.0001,2700.62972549401,7297442.99826642
0.0247,0.0547,0.0954,110,3.264,0.00035,2693.91271885597,3788925.26329687
0.0247,0.0547,0.0954,110,3.665,0.0001,2579.9507260409,7297614.38774867
0.0247,0.0547,0.0954,110,3.665,0.00035,2573.76536284955,3789012.43687176
0.0247,0.0547,0.0954,110,4.115,0.0001,2435.96738250647,7297462.58954947
0.0247,0.0547,0.0954,110,4.115,0.00035,2430.10747437452,3788932.04516855
0.0255,0.0446,0.0858,110,2.305,0.0001,2885.41834038913,8862239.53530596
0.0255,0.0446,0.0858,110,2.305,0.00035,2874.14388609731,4601382.67158234
0.0255,0.0446,0.0858,110,2.588,0.0001,2787.62925617497,8862130.11116011
0.0255,0.0446,0.0858,110,2.588,0.00035,2776.97863688252,4601323.47399765
0.0255,0.0446,0.0858,110,2.906,0.0001,2673.22860767728,8862132.53237227
0.0255,0.0446,0.0858,110,2.906,0.00035,2663.17580867616,4601323.26791714
0.0255,0.0446,0.0858,110,3.264,0.0001,2539.93769547763,8862183.23796329
0.0255,0.0446,0.0858,110,3.264,0.00035,2530.54146088522,4601347.49425211
0.0255,0.0446,0.0858,110,3.665,0.0001,2375.36783430578,8862136.4844141
0.0255,0.0446,0.0858,110,3.665,0.00035,2365.42893590297,4601322.97271545
0.0257,0.0447,0.086,110,2.305,0.0001,2905.92314420402,8932846.551133
0.0257,0.0447,0.086,110,2.305,0.00035,2894.44217154937,4638042.55543396
0.0257,0.0447,0.086,110,2.588,0.0001,2808.00441274405,8932900.22179261
0.0257,0.0447,0.086,110,2.588,0.00035,2797.63627856909,4638068.25356004
0.0257,0.0447,0.086,110,2.906,0.0001,2694.54769516155,8932930.86159211
0.0257,0.0447,0.086,110,2.906,0.00035,2684.56889256115,4638082.5886836
0.0257,0.0447,0.086,110,3.264,0.0001,2560.00821681308,8932849.42541278
0.0257,0.0447,0.086,110,3.264,0.00035,2550.02537495844,4638038.83588563
0.0257,0.0447,0.086,110,3.665,0.0001,2394.93637615743,8932888.914094
0.0257,0.0447,0.086,110,3.665,0.00035,2384.61472520716,4638057.3801344
0.0286,0.0465,0.0673,90,2.906,0.0001,3247.47523292208,5616472.53886057
0.0286,0.0465,0.0673,90,2.906,0.00035,3235.95340482786,2916189.85240788
0.0286,0.0465,0.0673,110,2.588,0.0001,2848.28831836834,5616379.99985789
0.0286,0.0465,0.0673,110,2.588,0.00035,2837.78080909749,2916099.76720295
0.0286,0.0465,0.0673,110,2.906,0.0001,2741.32529491641,5616380.50946283
0.0286,0.0465,0.0673,110,2.906,0.00035,2731.56081880009,2916098.77710985
0.0286,0.0465,0.0673,110,3.264,0.0001,2613.64602313479,5616381.0604006
0.0286,0.0465,0.0673,110,3.264,0.00035,2604.12234047474,2916097.58686877
0.0286,0.0465,0.0673,110,3.665,0.0001,2455.24650563716,5616384.06379673
0.0286,0.0465,0.0673,110,3.665,0.00035,2445.12159263615,2916098.89543523
0.0296,0.075,0.1055,100,3.665,0.0001,3567.71877300233,5364931.42371466
0.0296,0.075,0.1055,100,3.665,0.00035,3562.64296250692,2785573.87796467
0.0296,0.075,0.1055,110,3.264,0.0001,3380.14308133301,5364908.75284854
0.0296,0.075,0.1055,110,3.264,0.00035,3374.9351275108,2785543.56488298
0.0296,0.075,0.1055,110,3.665,0.0001,3284.99637102836,5364907.10518833
0.0296,0.075,0.1055,110,3.665,0.00035,3280.2897325093,2785540.80759903
0.0296,0.075,0.1055,110,4.115,0.0001,3178.97465088197,5364938.98213551
0.0296,0.075,0.1055,110,4.115,0.00035,3175.00671534945,2785555.65197574
0.0303,0.07,0.1081,110,2.906,0.0001,3541.65671214421,6994023.61155991
0.0303,0.07,0.1081,110,2.906,0.00035,3535.03960787993,3631397.88825674
0.0303,0.07,0.1081,110,3.264,0.0001,3448.49612698711,6993999.35243848
0.0303,0.07,0.1081,110,3.264,0.00035,3442.75935147643,3631383.04715843
0.0303,0.07,0.1081,110,3.665,0.0001,3342.95612781926,6994197.95508555
0.0303,0.07,0.1081,110,3.665,0.00035,3338.03455433214,3631484.02448147
0.0303,0.07,0.1081,110,4.115,0.0001,3223.57921688313,6993997.59254195
0.0303,0.07,0.1081,110,4.115,0.00035,3219.15521093016,3631377.92804821
